FID,Id,Site,Circrat,Date,Spec_Code,ColonyID,PatchID,PatchName,Poly_Area,Poly_Perim,LinkTP_Bac,LinkTP_For,Notes,TimePt,Shape_Leng,Shape_Area
34,0,OAH22,4,08/01/2016,PMEA, ,38,OAH22_04_08/01/2016_PMEA_0038,0.013066223552000,0.462116953945000, ,75, ,1,0.461959443200000,0.013067910052200
35,0,OAH22,1,08/01/2016,MPAT, ,12,OAH22_01_08/01/2016_MPAT_0012,0.005064287238390,0.281690547043000, ,45,Fusion,1,0.281622178264000,0.005062559989130
36,0,OAH22,13,08/01/2016,PMEA, ,131,OAH22_13_08/01/2016_PMEA_0131,0.011246102049600,0.407572840606000, ,125, ,1,0.407556099817000,0.011248869916900
37,0,OAH22,15,08/01/2016,PMEA, ,133,OAH22_15_08/01/2016_PMEA_0133,0.001215109278100,0.137877587385000, ,-99,Mortality,1,0.137814838392000,0.001214265007270
38,0,OAH22,17,08/01/2016,PMEA, ,130,OAH22_17_08/01/2016_PMEA_0130,0.032466373635400,0.819165914318000, ,124, ,1,0.819259662042000,0.032464235044500
39,0,OAH22,16,08/01/2016,PMEA, ,127,OAH22_16_08/01/2016_PMEA_0127,0.026310063974600,0.677796062382000, ,122, ,1,0.677845054903000,0.026312119981000
40,0,OAH22,14,08/01/2016,PMEA, ,129,OAH22_14_08/01/2016_PMEA_0129,0.022337421575500,0.699836973102000, ,123, ,1,0.700087977991000,0.022337645005300
41,0,OAH22,16,08/01/2016,PMEA, ,128,OAH22_16_08/01/2016_PMEA_0128,0.010104118815600,0.423022936066000, ,121, ,1,0.423094204186000,0.010102694983300
42,0,OAH22,18,08/01/2016,PMEA, ,126,OAH22_18_08/01/2016_PMEA_0126,0.015464603354700,0.474732804991000, ,120, ,1,0.474607894469000,0.015462095061300
43,0,OAH22,4,08/01/2016,POSP, ,134,OAH22_04_08/01/2016_POSP_0134,0.023015132110400,0.891190476426000, ,"258,260",Fusion,1,0.891207919101000,0.023020534962700
44,0,OAH22,4,08/01/2016,POSP, ,135,OAH22_04_08/01/2016_POSP_0135,0.000836065176028,0.118694976949000, ,-99,Mortality,1,0.118545817304000,0.000836209995349
45,0,OAH22,4,08/01/2016,POSP, ,136,OAH22_04_08/01/2016_POSP_0136,0.001844894714070,0.166805635777000, ,-99,Mortality,1,0.166879153940000,0.001844954982870
46,0,OAH22,4,08/01/2016,POSP, ,137,OAH22_04_08/01/2016_POSP_0137,0.000305165800459,0.065803119264200, ,263,Fusion,1,0.065882688503500,0.000305825002189
47,0,OAH22,4,08/01/2016,POSP, ,138,OAH22_04_08/01/2016_POSP_0138,0.019189106331600,0.631987910439000, ,265, ,1,0.632086066007000,0.019191240100000
48,0,OAH22,4,08/01/2016,POSP, ,139,OAH22_04_08/01/2016_POSP_0139,0.001225353094810,0.168873709919000, ,268, ,1,0.168899001840000,0.001224655006670
49,0,OAH22,4,08/01/2016,POSP, ,140,OAH22_04_08/01/2016_POSP_0140,0.000232415355011,0.061582020468700, ,-99,Mortality,1,0.061582793016100,0.000232035011629
50,0,OAH22,4,08/01/2016,POSP, ,141,OAH22_04_08/01/2016_POSP_0141,0.007157663638200,0.396508878913000, ,"249,251",Fission,1,0.396628709599000,0.007156080034010
51,0,OAH22,4,08/01/2016,POSP, ,142,OAH22_04_08/01/2016_POSP_0142,0.021435166658000,0.926061520489000, ,"250,252,266",Fission,1,0.926072387274000,0.021437269966900
52,0,OAH22,4,08/01/2016,POSP, ,143,OAH22_04_08/01/2016_POSP_0143,0.000730218195460,0.100678736621000, ,248, ,1,0.100646727424000,0.000729510003397
53,0,OAH22,4,08/01/2016,POSP, ,144,OAH22_04_08/01/2016_POSP_0144,0.004049688405720,0.263840567350000, ,272,Fusion,1,0.263957908085000,0.004050890004850
54,0,OAH22,4,08/01/2016,POSP, ,145,OAH22_04_08/01/2016_POSP_0145,0.015976906170000,0.745386546753000, ,"269,270",Fission,1,0.745396707058000,0.015974854957600
55,0,OAH22,4,08/01/2016,POSP, ,146,OAH22_04_08/01/2016_POSP_0146,0.001941173250420,0.160091078564000, ,272,Fusion,1,0.160041133751000,0.001939300005950
56,0,OAH22,4,08/01/2016,POSP, ,147,OAH22_04_08/01/2016_POSP_0147,0.062107660865600,1.666865851150000, ,272,Fusion,1,1.667087251120000,0.062105905000700
57,0,OAH22,4,08/01/2016,POSP, ,148,OAH22_04_08/01/2016_POSP_0148,0.078091682168800,1.654699938030000, ,271, ,1,1.654736221900000,0.078090845122000
58,0,OAH22,4,08/01/2016,POSP, ,149,OAH22_04_08/01/2016_POSP_0149,0.072472284939200,1.765433262190000, ,"257,258,261","Fus 258, fis 254,257,258,261",1,1.765872540090000,0.072468905162900
59,0,OAH22,4,08/01/2016,POSP, ,150,OAH22_04_08/01/2016_POSP_0150,0.002769782197840,0.273428374379000, ,263,Fusion,1,0.273362057525000,0.002768684947880
60,0,OAH22,4,08/01/2016,POSP, ,151,OAH22_04_08/01/2016_POSP_0151,0.000773468942788,0.125503679314000, ,-99,Mortality,1,0.125470064484000,0.000772694994001
61,0,OAH22,4,08/01/2016,POSP, ,152,OAH22_04_08/01/2016_POSP_0152,0.011194234360800,0.558255067853000, ,253, ,1,0.558287265456000,0.011195040045700
62,0,OAH22,4,08/01/2016,POSP, ,153,OAH22_04_08/01/2016_POSP_0153,0.041694200750300,2.015936971390000, ,264, ,1,2.015528659290000,0.041691250038100
63,0,OAH22,2,08/01/2016,POSP, ,154,OAH22_02_08/01/2016_POSP_0154,0.001671657821920,0.161189414481000, ,205,Fusion,1,0.161088174170000,0.001669305015020
64,0,OAH22,2,08/01/2016,POSP, ,155,OAH22_02_08/01/2016_POSP_0155,0.002893819051540,0.218454043853000, ,207, ,1,0.218702972354000,0.002898900044300
65,0,OAH22,0,08/01/2016,POSP, ,156,OAH22_00_08/01/2016_POSP_0156,0.000548966170802,0.087903950246400, ,208,Fusion,1,0.087927367207400,0.000548794992173
