FID,Id,Site,Circrat,SpeciesCod,ColonyID,PatchID,PatchName,LinkTP_Bac,LinkTP_For,Date,Notes,TimePt,Max_Diam,Poly_Area,Poly_Perim,Shape_Leng,Shape_Area
29,0,OCC_MAI_00,12,PMEA, ,66,OCC_MAI_002_12_04/27/2019_PMEA_0066,-99, ,04/27/2019,Recruitment,2,0.0000000,0.0008000,0.1109000,0.110758619740000,0.000770299995991
30,0,OCC_MAI_00,12,PMEA, ,67,OCC_MAI_002_12_04/27/2019_PMEA_0067,-99, ,04/27/2019,Recruitment,2,0.0000000,0.0015000,0.1603000,0.160431400441000,0.001479175010080
31,0,OCC_MAI_00,12,PMEA, ,68,OCC_MAI_002_12_04/27/2019_PMEA_0068,-99, ,04/27/2019,Recruitment,2,0.0000000,0.0013000,0.1333000,0.133364446851000,0.001265380016290
32,0,OCC_MAI_00,12,PMEA, ,69,OCC_MAI_002_12_04/27/2019_PMEA_0069,-99, ,04/27/2019,Recruitment,2,0.0000000,0.0005000,0.0885000,0.088507833976400,0.000511860005108
33,0,OCC_MAI_00,12,PMEA, ,70,OCC_MAI_002_12_04/27/2019_PMEA_0070,-99, ,04/27/2019,Recruitment,2,0.0000000,0.0016000,0.1570000,0.156972415113000,0.001599540014740
34,0,OCC_MAI_00,12,PMEA, ,71,OCC_MAI_002_12_04/27/2019_PMEA_0071,11, ,04/27/2019, ,2,0.0000000,0.0152000,0.5424000,0.542378580303000,0.015190129994200
35,0,OCC_MAI_00,12,PMEA, ,72,OCC_MAI_002_12_04/27/2019_PMEA_0072,-99, ,04/27/2019,Recruitment,2,0.0000000,0.0003000,0.0676000,0.067557161868900,0.000314274992247
36,0,OCC_MAI_00,13,PMEA, ,73,OCC_MAI_002_13_04/27/2019_PMEA_0073,-99, ,04/27/2019,Recruitment,2,0.0000000,0.0001000,0.0451000,0.045064684890000,0.000135700003228
37,0,OCC_MAI_00,14,PMEA, ,74,OCC_MAI_002_14_04/27/2019_PMEA_0074,25, ,04/27/2019, ,2,0.0000000,0.0022000,0.2007000,0.200781781468000,0.002167715045840
38,0,OCC_MAI_00,14,PMEA, ,75,OCC_MAI_002_14_04/27/2019_PMEA_0075,23, ,04/27/2019, ,2,0.0000000,0.0161000,0.4800000,0.480053664635000,0.016090964942300
39,0,OCC_MAI_00,14,PMEA, ,76,OCC_MAI_002_14_04/27/2019_PMEA_0076,24, ,04/27/2019, ,2,0.0000000,0.0164000,0.4851000,0.485161578733000,0.016362560081100
40,0,OCC_MAI_00,15,PMEA, ,77,OCC_MAI_002_15_04/27/2019_PMEA_0077,-99, ,04/27/2019,Recruitment,2,0.0000000,0.0020000,0.1977000,0.197568724946000,0.002007420018330
41,0,OCC_MAI_00,16,PGRA, ,78,OCC_MAI_002_16_04/27/2019_PGRA_0078,35, ,04/27/2019, ,2,0.0000000,0.0049000,0.2706000,0.270689804277000,0.004878860017810
42,0,OCC_MAI_00,22,PMEA, ,79,OCC_MAI_002_22_04/27/2019_PMEA_0079,33, ,04/27/2019, ,2,0.0000000,0.0215000,0.6177000,0.617688275190000,0.021494484991900
43,0,OCC_MAI_00,22,PMEA, ,80,OCC_MAI_002_22_04/27/2019_PMEA_0080,-99, ,04/27/2019,Recruitment,2,0.0000000,0.0050000,0.3095000,0.309206179950000,0.005039774985520
44,0,OCC_MAI_00,22,PMEA, ,81,OCC_MAI_002_22_04/27/2019_PMEA_0081,34, ,04/27/2019, ,2,0.0000000,0.0268000,0.8369000,0.836879154782000,0.026761754981200
45,0,OCC_MAI_00,22,PMEA, ,82,OCC_MAI_002_22_04/27/2019_PMEA_0082,-99, ,04/27/2019,Recruitment,2,0.0000000,0.0018000,0.1800000,0.180185592129000,0.001809840039580
46,0,OCC_MAI_00,22,PMEA, ,83,OCC_MAI_002_22_04/27/2019_PMEA_0083,-99, ,04/27/2019,Recruitment,2,0.0000000,0.0064000,0.3282000,0.328442960949000,0.006358229993690
47,0,OCC_MAI_00,22,PMEA, ,84,OCC_MAI_002_22_04/27/2019_PMEA_0084,-99, ,04/27/2019,Recruitment,2,0.0000000,0.0009000,0.1127000,0.112577525251000,0.000887305009417
48,0,OCC_MAI_00,22,PMEA, ,85,OCC_MAI_002_22_04/27/2019_PMEA_0085,-99, ,04/27/2019,Recruitment,2,0.0000000,0.0020000,0.1658000,0.165739293474000,0.001992720046570
49,0,OCC_MAI_00,22,PMEA, ,86,OCC_MAI_002_22_04/27/2019_PMEA_0086,32, ,04/27/2019, ,2,0.0000000,0.0032000,0.2259000,0.225944096076000,0.003201795006990
50,0,OCC_MAI_00,25,PMEA, ,87,OCC_MAI_002_25_04/27/2019_PMEA_0087,12, ,04/27/2019, ,2,0.0000000,0.0067000,0.3286000,0.328657100599000,0.006732469971730
51,0,OCC_MAI_00,1,POSP, ,129,OCC_MAI_002_01_04/27/2019_POSP_0129,-99, ,04/27/2019,Recruitment,2,0.0000000,0.0001000,0.0371000,0.037083909792800,0.000101460003468
52,0,OCC_MAI_00,1,POSP, ,130,OCC_MAI_002_01_04/27/2019_POSP_0130,-99, ,04/27/2019,Recruitment,2,0.0000000,0.0001000,0.0511000,0.051149790504900,0.000141889984247
53,0,OCC_MAI_00,1,POSP, ,131,OCC_MAI_002_01_04/27/2019_POSP_0131,105, ,04/27/2019, ,2,0.0000000,0.0002000,0.0599000,0.060010428535000,0.000237469995911
54,0,OCC_MAI_00,1,POSP, ,132,OCC_MAI_002_01_04/27/2019_POSP_0132,-99, ,04/27/2019,Recruitment,2,0.0000000,0.0000000,0.0227000,0.022927119255100,0.000031520002249
55,0,OCC_MAI_00,1,POSP, ,133,OCC_MAI_002_01_04/27/2019_POSP_0133,-99, ,04/27/2019,Recruitment,2,0.0000000,0.0018000,0.1610000,0.161040045703000,0.001766929979220
56,0,OCC_MAI_00,1,POSP, ,134,OCC_MAI_002_01_04/27/2019_POSP_0134,95, ,04/27/2019, ,2,0.0000000,0.0001000,0.0356000,0.035702014666700,0.000080160002772
57,0,OCC_MAI_00,1,POSP, ,135,OCC_MAI_002_01_04/27/2019_POSP_0135,95, ,04/27/2019, ,2,0.0000000,0.0012000,0.1572000,0.157375921499000,0.001187079991930
58,0,OCC_MAI_00,1,POSP, ,136,OCC_MAI_002_01_04/27/2019_POSP_0136,95, ,04/27/2019, ,2,0.0000000,0.0001000,0.0624000,0.062196839288200,0.000127815008923
59,0,OCC_MAI_00,1,POSP, ,137,OCC_MAI_002_01_04/27/2019_POSP_0137,94, ,04/27/2019, ,2,0.0000000,0.0003000,0.0711000,0.071175249570800,0.000250329995805
60,0,OCC_MAI_00,1,POSP, ,138,OCC_MAI_002_01_04/27/2019_POSP_0138,"97,99", ,04/27/2019, ,2,0.0000000,0.0049000,0.4226000,0.422654395133000,0.004866024979550
61,0,OCC_MAI_00,1,POSP, ,139,OCC_MAI_002_01_04/27/2019_POSP_0139,98, ,04/27/2019, ,2,0.0000000,0.0002000,0.0552000,0.055180801425500,0.000182680002592
62,0,OCC_MAI_00,1,POSP, ,140,OCC_MAI_002_01_04/27/2019_POSP_0140,98, ,04/27/2019, ,2,0.0000000,0.0002000,0.0519000,0.051917269870200,0.000187315003609
63,0,OCC_MAI_00,1,POSP, ,141,OCC_MAI_002_01_04/27/2019_POSP_0141,96, ,04/27/2019, ,2,0.0000000,0.0003000,0.0638000,0.063849571713200,0.000254474999791
64,0,OCC_MAI_00,1,POSP, ,142,OCC_MAI_002_01_04/27/2019_POSP_0142,-99, ,04/27/2019,Recruitment,2,0.0000000,0.0001000,0.0364000,0.036384726750200,0.000063424997602
65,0,OCC_MAI_00,1,POSP, ,143,OCC_MAI_002_01_04/27/2019_POSP_0143,100, ,04/27/2019, ,2,0.0000000,0.0008000,0.1326000,0.132611201468000,0.000828385023145
66,0,OCC_MAI_00,1,POSP, ,144,OCC_MAI_002_01_04/27/2019_POSP_0144,-99, ,04/27/2019,Recruitment,2,0.0000000,0.0003000,0.0665000,0.066582626766600,0.000310440013052
67,0,OCC_MAI_00,1,POSP, ,145,OCC_MAI_002_01_04/27/2019_POSP_0145,106, ,04/27/2019, ,2,0.0000000,0.0145000,0.7724000,0.772625702184000,0.014506964866600
68,0,OCC_MAI_00,2,POSP, ,146,OCC_MAI_002_02_04/27/2019_POSP_0146,125, ,04/27/2019, ,2,0.0000000,0.0004000,0.0801000,0.080165855751100,0.000435064999844
69,0,OCC_MAI_00,2,POSP, ,147,OCC_MAI_002_02_04/27/2019_POSP_0147,122, ,04/27/2019, ,2,0.0000000,0.0002000,0.0493000,0.049295472195000,0.000167939992694
70,0,OCC_MAI_00,2,POSP, ,148,OCC_MAI_002_02_04/27/2019_POSP_0148,123, ,04/27/2019, ,2,0.0000000,0.0001000,0.0317000,0.031925345520100,0.000065670006553
71,0,OCC_MAI_00,2,POSP, ,149,OCC_MAI_002_02_04/27/2019_POSP_0149,"116,178,179", ,04/27/2019, ,2,0.0000000,0.0023000,0.2889000,0.289050989383000,0.002312794979810
72,0,OCC_MAI_00,2,POSP, ,150,OCC_MAI_002_02_04/27/2019_POSP_0150,108, ,04/27/2019, ,2,0.0000000,0.0001000,0.0464000,0.046476761363000,0.000132674989431
